System_geom,1200,1200,400
#Detector,center,normal,top,h,w,t
Detector,"(632.500000, 409.500000, 175.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 409.500000, 125.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 409.500000, 75.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 409.500000, 25.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 390.500000, 175.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 390.500000, 125.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 390.500000, 75.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 390.500000, 25.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 409.500000, 225.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 409.500000, 275.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 409.500000, 325.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 409.500000, 375.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 390.500000, 225.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 390.500000, 275.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 390.500000, 325.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 390.500000, 375.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 809.500000, 175.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 809.500000, 125.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 809.500000, 75.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 809.500000, 25.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 790.500000, 175.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 790.500000, 125.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 790.500000, 75.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 790.500000, 25.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 809.500000, 225.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 809.500000, 275.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 809.500000, 325.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(632.500000, 809.500000, 375.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 790.500000, 225.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 790.500000, 275.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 790.500000, 325.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 790.500000, 375.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 1190.500000, 175.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 1190.500000, 125.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 1190.500000, 75.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 1190.500000, 25.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 1190.500000, 225.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 1190.500000, 275.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 1190.500000, 325.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(567.500000, 1190.500000, 375.000000)","(0.000000, -1.000000, -0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(1032.500000, 409.500000, 175.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
Detector,"(1032.500000, 409.500000, 125.000000)","(-0.000000, 1.000000, 0.000000)","(0.000000, 0.000000, 1.000000)",50,10,2
