BoxType,center,normal,top,h,w,t
Emitter,"(-210.71067811865476, 70.71067811865476, -590.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -570.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -550.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -530.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -510.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -490.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -470.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -450.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -430.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -410.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -390.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -370.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -350.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -330.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -310.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -290.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -270.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -250.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -230.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -210.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -190.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -170.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -150.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -130.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -110.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -90.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -70.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -50.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -30.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, -10.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 10.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 30.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 50.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 70.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 90.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 110.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 130.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 150.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 170.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 190.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 210.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 230.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 250.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 270.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 290.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 310.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 330.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 350.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 370.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 390.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 410.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 430.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 450.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 470.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 490.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 510.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 530.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 550.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 570.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-210.71067811865476, 70.71067811865476, 590.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -590.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -570.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -550.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -530.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -510.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -490.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -470.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -450.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -430.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -410.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -390.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -370.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -350.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -330.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -310.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -290.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -270.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -250.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -230.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -210.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -190.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -170.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -150.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -130.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -110.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -90.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -70.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -50.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -30.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, -10.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 10.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 30.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 50.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 70.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 90.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 110.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 130.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 150.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 170.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 190.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 210.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 230.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 250.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 270.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 290.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 310.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 330.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 350.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 370.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 390.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 410.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 430.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 450.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 470.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 490.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 510.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 530.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 550.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 570.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-196.5685424949238, 56.568542494923804, 590.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -590.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -570.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -550.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -530.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
Emitter,"(-182.42640687119285, 42.42640687119285, -510.0)","(0.7071067811865476, 0.7071067811865475, 0.0)",,10,10,0
